full_name,age,positions,primary_position,acceleration,sprint_speed,dribbling,short_passing,finishing,stamina,strength,embedding
Davide Santon,28,"LB,RB",LB,67,74,75,76,46,74,68,"[0.1828860491514206, -0.21031568944454193, 0.7406818270683289, 0.2950221300125122, -0.4062850773334503, 0.009549840353429317, -0.1268349438905716, -0.45911654829978943, 0.24380245804786682, -0.2671644687652588, 0.38691556453704834, -0.3576276898384094, 0.6266593337059021, -0.4802453815937042, 0.1282259225845337, -0.14962996542453766, -0.4121454954147339, 0.4029185175895691, 0.320023775100708, 0.48670902848243713, 0.46250808238983154, 0.24505174160003662, 0.006378140300512314, -0.4931411147117615, -0.9586119055747986, 0.4733913838863373, 0.289725124835968, 0.861014187335968, -0.2305881381034851, -0.18805117905139923, -0.27767878770828247, -0.9176126718521118, -0.049855347722768784, 0.3378526568412781, -0.23518922924995422, 0.49665510654449463, -0.5850362777709961, -0.25169238448143005, -0.8183266520500183, 0.4134540557861328, 0.13072526454925537, -0.3639087378978729, -0.4805936813354492, 0.32787302136421204, -0.01849699765443802, 0.2755882143974304, 0.18911857903003693, -0.6688563823699951, -0.2411530613899231, 0.5489878058433533, 0.5154998898506165, 0.12082114815711975, -0.48106649518013, -0.5236271023750305, 0.28016093373298645, -0.18456526100635529, -0.2743780314922333, -0.8957158327102661, -0.25603246688842773, -0.26607224345207214, 0.0677943304181099, 0.1992146223783493, 0.14476847648620605, -0.32389792799949646]"
Ivan Ordets,26,CB,CB,61,69,38,66,46,79,88,"[0.5090977549552917, -0.18673822283744812, 1.039656162261963, -0.0139548908919096, 0.12532787024974823, 0.5220544338226318, -0.603381335735321, 0.13591013848781586, 0.14683903753757477, 0.28434666991233826, 0.023558547720313072, -0.0709376335144043, 0.07343430817127228, -0.7855420708656311, 0.11294930428266525, -0.0611325278878212, -0.06333667039871216, -0.0028049731627106667, -0.40316295623779297, 0.8330894112586975, 0.18788842856884003, 0.195855975151062, -0.7978304624557495, -0.3523710072040558, 0.2765882611274719, -0.0843554139137268, 0.26749086380004883, 0.42240583896636963, 0.18887512385845184, 0.14400918781757355, 0.0009795301593840122, 0.08851632475852966, 0.4510838985443115, 0.19433411955833435, -0.018818486481904984, 0.8599120378494263, -0.07750575989484787, 0.035062436014413834, 0.08566275984048843, 0.4467759132385254, 0.03757821395993233, 0.4827844500541687, 0.08936994522809982, 0.05848383530974388, 0.40842464566230774, -0.3538784682750702, -0.408195436000824, 0.1916448324918747, -0.2034539133310318, 0.021695226430892944, 0.347988098859787, 0.20938332378864288, -0.06642667204141617, 0.11405935883522034, -0.35101544857025146, -0.5445786118507385, 0.13756999373435974, -0.6693007349967957, -0.1513051688671112, 0.9808998703956604, -0.9381242394447327, 0.8232865929603577, 0.7533968091011047, -0.20875445008277893]"
Francisco Geraldes,23,CAM,CAM,78,75,84,73,55,72,44,"[0.06402388960123062, -0.5593175292015076, 0.17128106951713562, 0.41413962841033936, 0.41470545530319214, -0.059640273451805115, -0.1106635332107544, -0.882847011089325, -0.03716398775577545, -0.37895509600639343, 0.4244392216205597, -0.32618942856788635, 0.8137606978416443, -0.3650013208389282, 0.0241222120821476, 0.90716952085495, -0.7613685727119446, 0.1307142972946167, -0.17456087470054626, -0.34646326303482056, 0.20244839787483215, 0.4726971387863159, -0.6038230657577515, 0.6998661160469055, -0.2421933114528656, 0.46999165415763855, -0.1875784695148468, 0.7295508980751038, -0.858895480632782, 0.1544140875339508, -1.1785706281661987, 0.020711449906229973, -0.3765597343444824, 0.18057332932949066, 0.38395461440086365, -0.10379236191511154, 0.7631874680519104, 0.2063901126384735, 0.2713586688041687, -0.2761460840702057, -0.11826622486114502, 0.12822893261909485, -0.4028189778327942, 0.07708673924207687, -0.026873907074332237, -0.2940025329589844, -0.027398839592933655, -0.19508762657642365, 0.14915166795253754, 0.19687005877494812, 0.5668521523475647, 0.2673244774341583, 0.17104126513004303, 0.07737388461828232, -0.06091823801398277, -0.38462308049201965, -0.3961010277271271, -0.6800245642662048, -0.025959499180316925, -0.08799204230308533, -0.5861773490905762, -0.1210377961397171, -0.0703110620379448, -0.6713992357254028]"
Robert Snodgrass,31,"RM,CM,LM",RM,61,65,76,74,71,73,70,"[0.17735125124454498, 0.239267036318779, -0.0030546956695616245, -0.25657251477241516, -0.4225042164325714, -0.5060192942619324, -0.1894489824771881, 0.1313185840845108, 0.016050666570663452, -0.37973707914352417, 0.21823954582214355, -0.6895666122436523, 0.9806786179542542, 0.12919171154499054, -0.5055612921714783, -0.7743183374404907, -0.3590356409549713, 0.2152981162071228, -0.24887719750404358, -0.15346652269363403, 0.6888644099235535, 0.13464249670505524, 0.09033963829278946, -0.7332907319068909, -0.3648977279663086, -0.043741073459386826, -0.5017554759979248, 0.2518191635608673, -0.608673632144928, 0.4643155336380005, -0.4173950254917145, -0.7028198838233948, 0.5608617067337036, 0.4791274666786194, 0.14984196424484253, 0.44173845648765564, 0.3502712845802307, -0.30540090799331665, -0.5882694125175476, 0.07619871944189072, 0.4946334660053253, -0.6390675902366638, -0.25162890553474426, 0.5442902445793152, 0.35244691371917725, 0.5308590531349182, -0.08900833129882812, -0.2667449116706848, 0.3848285973072052, -0.4860604405403137, 0.365029901266098, 0.7188062071800232, -0.3415716588497162, 0.008130387403070927, -0.6793560981750488, -0.35914215445518494, -0.073331817984581, -0.009301465936005116, -0.24518953263759613, 0.5222342610359192, -0.7912883758544922, 0.1690089851617813, -0.15688876807689667, -0.21709877252578735]"
Vitor Hugo Franchescoli de Souza,27,CB,CB,66,69,39,41,26,54,78,"[0.7952080368995667, 0.17458073794841766, 0.01881370134651661, 0.36229559779167175, 0.4644508957862854, 0.09136465191841125, -0.6826877593994141, -0.5227921009063721, -0.45540520548820496, 0.08805394917726517, -0.4552666246891022, 0.3456873297691345, -0.3194734752178192, -0.48141148686408997, -0.3900533616542816, -0.11893931031227112, -0.5078153610229492, -0.7160382866859436, -0.16856446862220764, 0.22155429422855377, 0.3442492187023163, 0.6802924275398254, -0.7347755432128906, 0.31675514578819275, 0.12193745374679565, -0.76036536693573, 0.0015445557655766606, -0.029383881017565727, -0.760155200958252, 0.08920802175998688, -0.2689270079135895, 0.2726111114025116, 0.288895845413208, -0.41446852684020996, -0.1499655842781067, -0.15442341566085815, -0.2825517952442169, -0.19695046544075012, -0.23851868510246277, 0.12438851594924927, 0.3559572994709015, -0.06972456723451614, -0.11354333162307739, -0.012155027128756046, 1.169030785560608, -0.5798326730728149, -0.4960991442203522, 0.1437908411026001, -0.33620667457580566, 0.040842205286026, -0.25027140974998474, 0.22477032244205475, -0.2732011079788208, -0.24972042441368103, -0.09091301262378693, -0.6738221049308777, 0.5163936018943787, -0.6957948207855225, -0.526975691318512, 0.7184514999389648, -0.6227771043777466, 0.4556092619895935, -0.04268377274274826, -0.7799956798553467]"
Mario Pašalić,24,"CM,CDM",CM,60,66,77,78,66,78,78,"[0.4566449820995331, -0.25379061698913574, 0.8274553418159485, 0.10705578327178955, -0.046999767422676086, -0.06392250955104828, -0.348568320274353, 0.6654807925224304, 0.328141987323761, -0.55210942029953, 0.47248539328575134, -0.25834909081459045, 0.8825901746749878, -0.414179265499115, 0.47314345836639404, -0.40220338106155396, 0.1506918966770172, 0.5395287871360779, -0.04324905201792717, 0.30851098895072937, 0.3378365933895111, 0.4663095474243164, -0.4375136196613312, -0.6774918437004089, -1.1164191961288452, 0.32901832461357117, -0.2777653932571411, 0.12810567021369934, -0.5766022205352783, 0.660571277141571, -0.6669289469718933, -0.6258201003074646, -0.14639337360858917, 0.135515034198761, 0.12821201980113983, 0.36518463492393494, -0.414409875869751, 0.2400072067975998, 0.11906291544437408, 0.19067242741584778, 0.14429521560668945, 0.17230410873889923, 0.02232257090508938, 0.28881025314331055, 0.09158985316753387, 0.046342138200998306, 0.03426634520292282, -0.5342270731925964, -0.2651996314525604, -0.059849370270967484, -0.053232207894325256, 0.09770026057958603, -0.062019623816013336, -0.007060709409415722, -0.898259699344635, -0.3456687927246094, -0.004604985937476158, 0.11279412358999252, -0.03403907269239426, 0.04372888430953026, -0.505312979221344, 0.5679327249526978, 0.09657029062509537, -0.5723921060562134]"
Fabio Borini,27,"LW,RM",LW,77,75,78,76,72,77,68,"[0.1324223428964615, -0.1951085329055786, -0.06721483916044235, 0.5053157806396484, 0.36980846524238586, -0.3377078175544739, -0.17476731538772583, -0.6846507787704468, -0.29924798011779785, -1.042064905166626, 0.39136776328086853, -0.257947713136673, 0.7996652126312256, -0.2459876984357834, -0.21172185242176056, -0.15586289763450623, -0.2358008176088333, 0.11450326442718506, 0.24973374605178833, -0.08278803527355194, 0.7171669602394104, 0.1749655157327652, -0.23212657868862152, -0.5053790807723999, -0.9446199536323547, -0.052222173660993576, 0.09840768575668335, 0.20132869482040405, -0.6703247427940369, 0.5778390765190125, -0.296613872051239, -0.5753377079963684, -0.29204699397087097, 0.19478736817836761, 0.9088619947433472, 0.8697071075439453, -0.07507224380970001, 0.4684332609176636, -0.6365327835083008, 0.07140525430440903, 0.30292871594429016, -0.5532317757606506, 0.38208022713661194, 0.4204728901386261, 0.12415136396884918, 0.20224939286708832, 0.395660400390625, -0.41842806339263916, 0.06714360415935516, -0.10763484239578247, 0.1693437099456787, 0.30853480100631714, -0.2561242878437042, -0.6657085418701172, -0.19507750868797302, -0.7340018153190613, 0.41633355617523193, -0.38799232244491577, 0.10612663626670837, 0.4235987067222595, -0.38146334886550903, 0.05480225384235382, -0.031798698008060455, 0.022971192374825478]"
Nikola Vukčević,27,"CDM,CM",CDM,64,56,71,77,38,76,75,"[0.2737031579017639, 0.39904120564460754, 0.6019991636276245, 0.29913103580474854, -0.22638624906539917, 0.2800440788269043, -0.0675651952624321, 0.0867948979139328, 0.1521560251712799, 0.3042528033256531, -0.041485387831926346, -0.3210201561450958, 0.7383274435997009, -0.803519070148468, 0.5400438904762268, -0.5075132846832275, -0.54756098985672, 0.025745835155248642, -0.19159874320030212, 0.45744162797927856, 0.34631744027137756, 0.3213461637496948, -0.27515870332717896, -0.9451231360435486, -0.4479227662086487, 0.21106284856796265, 0.13451848924160004, 0.8480285406112671, 0.11794012039899826, 0.22998619079589844, 0.16475647687911987, -0.6927881836891174, -0.019469205290079117, -0.024029606953263283, -0.5108752846717834, 0.3517574667930603, -0.18973056972026825, -0.12618814408779144, -0.3003601133823395, 0.05529731512069702, -0.06705441325902939, 0.03576250746846199, -0.22878728806972504, 0.1752133071422577, 0.3431294858455658, 0.2938676178455353, 0.116523876786232, -0.36852484941482544, -0.821976900100708, 0.36845076084136963, 0.5817602276802063, 0.3066941201686859, -0.2601969242095947, -0.3904348909854889, -0.38842859864234924, -0.12062503397464752, -0.5243470668792725, -0.15719187259674072, -0.9615055918693542, 0.15099136531352997, -0.3945334255695343, 0.22258901596069336, -0.07819444686174393, -0.6076480150222778]"
Atiba Hutchinson,36,"CDM,CM",CDM,68,69,73,82,61,78,79,"[-0.2515799105167389, 0.18826209008693695, 0.592256486415863, -0.480547159910202, -0.07602366805076599, -0.23971551656723022, 0.052583031356334686, -0.15267258882522583, 0.16811417043209076, 0.11779088526964188, 0.6627385020256042, -0.32076188921928406, 0.35153478384017944, -0.5256165862083435, 0.10695208609104156, -0.4547150135040283, -0.42398279905319214, -0.023899395018815994, 0.12164775282144547, 0.060332268476486206, 0.47889843583106995, -0.150697723031044, 0.04829955846071243, -0.903360903263092, -0.360683798789978, -0.045374754816293716, -0.36908698081970215, 0.5501244068145752, -1.0720136165618896, 0.10592811554670334, -0.33346474170684814, -0.6823177933692932, 0.5201506018638611, 0.8763201236724854, -0.3827691674232483, 0.6791293621063232, 0.05515126883983612, -0.5238680839538574, -0.5699788331985474, 0.7330270409584045, -0.1434614211320877, -0.54185551404953, -0.1825750768184662, 0.3497496247291565, 0.6827048063278198, 0.22188085317611694, 0.2469937801361084, 0.02696695365011692, 0.04899442940950394, -0.7007121443748474, 0.36637166142463684, 0.41712746024131775, -0.6291748881340027, 0.05823798105120659, -0.425913542509079, -0.07445969432592392, 0.33800455927848816, -0.5938335061073303, -0.2787644565105438, 0.0500161275267601, -0.33189812302589417, 0.010848397389054298, 0.11595065146684647, -0.4365505576133728]"
Maximiliano Nicol Moralez,32,"CAM,CM",CAM,84,67,77,74,72,73,33,"[-0.15883640944957733, -0.12828150391578674, -0.157959446310997, -0.03529757261276245, 0.3367636203765869, -0.44218194484710693, -0.09756822884082794, -0.9101735949516296, 0.45487716794013977, -0.25513866543769836, 0.34489336609840393, -0.7187943458557129, 0.30673760175704956, 0.543414831161499, -0.015386211685836315, 0.5242351293563843, -0.41761478781700134, -0.5205380916595459, -0.27070826292037964, -0.17340998351573944, 0.6627364158630371, -0.06257504969835281, -0.6703751087188721, 0.25119900703430176, -0.31851476430892944, -0.2332160770893097, -1.133135199546814, 0.8842135667800903, -0.32587099075317383, -0.1718698889017105, -0.623568058013916, -0.46818819642066956, 0.017002224922180176, 0.14787858724594116, 0.5455355644226074, 0.3602156639099121, 0.6188606023788452, 0.47046634554862976, -0.5338727235794067, -0.2857140898704529, -0.0715186595916748, 0.43962475657463074, -0.7065356969833374, 0.07778830081224442, 0.1408400982618332, 0.04736952856183052, 0.09797168523073196, -0.25353729724884033, 0.12434899806976318, -0.37321844696998596, 0.42249324917793274, 0.4126463234424591, 0.2960430681705475, 0.13989368081092834, -0.5775050520896912, -0.1648828387260437, 0.31664666533470154, -0.7439998984336853, -0.3341500461101532, 0.29730886220932007, -0.37632080912590027, -0.4961928427219391, -0.5057666301727295, -0.7106462717056274]"
Charlie Austin,29,ST,ST,58,58,66,62,79,55,78,"[0.3393801152706146, -0.0823710709810257, 0.3832055628299713, -0.2861930727958679, -0.05261301249265671, -0.23292715847492218, 0.32405775785446167, -0.27711835503578186, 0.2388571798801422, -0.21031522750854492, 0.5242847204208374, 0.013386542908847332, 1.1595438718795776, 0.45169997215270996, -0.4271453619003296, -0.44325706362724304, -0.282222718000412, -0.19046007096767426, -0.7369679808616638, 0.23579221963882446, 0.08890080451965332, -0.1263541877269745, -0.9215821623802185, -0.3638926148414612, 0.4296821653842926, 0.3137214183807373, -0.016088413074612617, -0.17135955393314362, -0.3798574209213257, 0.1466141641139984, -0.4942481815814972, -0.43264973163604736, 0.25964829325675964, 0.9775660634040833, 0.03942600265145302, 0.2810499966144562, 0.5458530783653259, -0.6521250605583191, -0.6798861622810364, 0.10481241345405579, 0.040847498923540115, 0.7182942628860474, 0.30783385038375854, 0.6709479689598083, 0.7096560597419739, 0.3992657959461212, -0.23265127837657928, -0.05429806932806969, 0.39564424753189087, -0.026670007035136223, 0.4127783179283142, 0.3201392590999603, 0.022841356694698334, -0.04590699076652527, -0.7844119668006897, -0.0016781006706878543, -0.11628352850675583, 0.4118276834487915, -0.3790528178215027, 0.24152550101280212, -0.7215546369552612, 0.5768654346466064, 0.04937100410461426, -0.19286800920963287]"
Robert Kenedy Nunes do Nascimento,23,LM,LM,79,80,83,72,65,72,67,"[0.417707622051239, -0.07932211458683014, -0.06190481781959534, -0.3693018853664398, 0.6021745800971985, -0.6081516146659851, -0.13072596490383148, -0.9368588328361511, 0.01623733527958393, -0.712553083896637, 0.5060775876045227, -0.13825035095214844, 0.28891846537590027, -0.24358665943145752, -0.3082228899002075, 0.07503107935190201, -0.3885892629623413, -0.30679601430892944, 0.4102223813533783, -0.03914480656385422, 0.14392228424549103, 0.5042396783828735, -0.5772545337677002, -0.04093024879693985, -1.6711528301239014, 0.1949867457151413, 0.28103819489479065, -0.046391893178224564, -0.4220106899738312, 0.4245604872703552, -0.296974241733551, -0.2850342094898224, -0.677832841873169, 0.08404262363910675, 0.6149653792381287, 0.45598649978637695, -0.32718995213508606, 0.316872775554657, -0.14380526542663574, 0.08378980308771133, 0.1179264634847641, 0.025183461606502533, 0.35843726992607117, 0.45649147033691406, -0.10114950686693192, -0.482224702835083, -0.011531099677085876, -0.012856977060437202, -0.24295897781848907, 0.5090076327323914, 0.028550198301672935, 0.2815937399864197, 0.05592886358499527, -0.9124274849891663, -0.4804646968841553, -0.23071689903736115, -0.2454688549041748, -0.15550647675991058, 0.12264464050531387, -0.05356689170002937, -0.8909666538238525, 0.35643139481544495, -0.4681580364704132, -0.06300400197505951]"
Eltildo Lucas Correia Pitta,27,"CB,RB,LB",CB,52,63,45,67,41,68,83,"[0.36890482902526855, 0.10334494709968567, 0.6563118100166321, -0.09043373912572861, 0.3965381979942322, 0.44257470965385437, -0.303362637758255, -0.21418672800064087, 0.016607781872153282, 0.4506799876689911, -0.17478284239768982, -0.21177881956100464, 0.21055705845355988, -0.7935505509376526, 0.27812880277633667, -0.06460245698690414, -0.5295126438140869, -0.48353779315948486, -0.7825906872749329, 0.3894355297088623, 0.1290869414806366, 0.5435562133789062, -0.5287633538246155, -0.6672793030738831, 0.3523682951927185, -0.16997134685516357, 0.6157837510108948, 0.23936407268047333, 0.07335102558135986, 0.040741920471191406, 0.15676158666610718, 0.007361570373177528, 0.49185478687286377, 0.5475404858589172, 0.15340004861354828, 0.5429375767707825, 0.21705710887908936, 0.17353862524032593, -0.16878415644168854, -0.040837712585926056, 0.02276204712688923, 0.5915522575378418, 0.2170974165201187, 0.2934224009513855, 0.25761011242866516, 0.12756061553955078, -0.6360504627227783, -0.15516191720962524, -0.7223801612854004, 0.06807295978069305, 0.3723668158054352, 0.1780025064945221, 0.25353020429611206, -0.31490781903266907, -0.4738437235355377, -0.5083706378936768, 0.46202507615089417, -0.7005831003189087, -0.31941935420036316, 0.6517144441604614, -1.3319061994552612, 0.43019992113113403, 0.4623631536960602, 0.005081148352473974]"
João Pedro Geraldino dos Santos Galvão,26,"CAM,CF,ST",CAM,75,76,75,77,75,75,64,"[0.15707024931907654, -0.23298174142837524, 0.45966461300849915, 0.510519802570343, 0.484520822763443, -0.19469071924686432, -0.34701159596443176, -0.6943209171295166, -0.3530530333518982, -0.8650979399681091, 0.6911115050315857, -0.3739750385284424, 0.7482501268386841, -0.2689085602760315, -0.4292701482772827, -0.15682293474674225, -0.08587492257356644, -0.16828200221061707, 0.5263189077377319, -0.19786077737808228, 0.48769116401672363, 0.24564997851848602, -0.4241214692592621, -0.41896510124206543, -1.2074543237686157, -0.05666525661945343, -0.22151075303554535, 0.09948524832725525, -0.5792640447616577, 0.42531439661979675, -0.416521281003952, -0.5180626511573792, -0.5109372138977051, 0.07221669703722, 0.7041086554527283, 0.7505172491073608, -0.09823738783597946, 0.40583643317222595, -0.3075435757637024, -0.03449604660272598, 0.22637483477592468, -0.5371262431144714, 0.4727667570114136, 0.4097982347011566, -0.03668797388672829, 0.5586850643157959, 0.13834735751152039, -0.36503568291664124, 0.08990362286567688, -0.0399794764816761, 0.11717677116394043, 0.6561183333396912, 0.019522931426763535, -0.48052188754081726, -0.35704898834228516, -0.8319813013076782, -0.11440969258546829, -0.24353128671646118, 0.36476215720176697, 0.09935828298330307, -0.5509058833122253, -0.1885494589805603, -0.19368870556354523, -0.07743312418460846]"
Alessandro Diamanti,35,"CAM,CF",CAM,68,67,80,79,60,65,61,"[0.06753286719322205, 0.029222264885902405, -0.025051794946193695, 0.1623305231332779, -0.3531842529773712, -0.9590759873390198, -0.13117969036102295, -0.4495466947555542, 0.03764348104596138, -0.3396317958831787, 0.12081888318061829, -0.22932259738445282, 0.912954568862915, 0.3055366277694702, -0.24497127532958984, -0.5372651219367981, -0.998436450958252, -0.10076624900102615, -0.34809088706970215, -0.008923133835196495, 0.6658433079719543, 0.34125345945358276, -0.11932053416967392, -0.3860826790332794, -0.12384579330682755, 0.08075912296772003, -0.9501445293426514, 0.46919044852256775, -1.070168137550354, -0.4032346308231354, -0.4314331114292145, -0.6575278043746948, 0.5888691544532776, 0.29417991638183594, 0.3154541552066803, 0.56016606092453, 0.261166512966156, 0.029251348227262497, -0.5739395022392273, 0.1800595074892044, -0.26945650577545166, 0.005725679453462362, -0.5638759136199951, 0.7917830348014832, -0.06284180283546448, 0.4881714880466461, -0.08354983478784561, -0.05434539169073105, 0.5673685669898987, -0.5719584822654724, 0.30097633600234985, 0.6779846549034119, -0.021505044773221016, -0.1387803554534912, -0.27244889736175537, -0.24230924248695374, 0.6387761831283569, -0.4994984269142151, -0.5387545824050903, -0.3092321455478668, -0.22711099684238434, -0.032753486186265945, -0.45086434483528137, -0.3229329586029053]"
Guilherme dos Santos Torres,27,"CDM,CM",CDM,69,66,64,78,55,73,76,"[0.18112824857234955, -0.22146213054656982, 1.3144153356552124, 0.050571780651807785, -0.3721170425415039, 0.06262537837028503, -0.374801367521286, 0.27181440591812134, 0.025632349774241447, -0.16154740750789642, 0.47001829743385315, -0.49952128529548645, 0.7249928712844849, -0.5655980706214905, 0.4230816066265106, -0.39409059286117554, 0.05289853736758232, 0.12665213644504547, 0.08987119793891907, 0.41426825523376465, 0.7297159433364868, 0.0916910246014595, 0.38791173696517944, -0.7839867472648621, -0.9218621253967285, 0.2834760546684265, -0.0313873216509819, 0.6094499826431274, -0.32156866788864136, 0.6999740600585938, -0.3465379774570465, -0.4337034523487091, 0.04537787288427353, -0.01285333838313818, -0.03997649997472763, 0.639691174030304, -0.27670010924339294, -0.053163252770900726, -0.10524819791316986, 0.1908523291349411, -0.337817519903183, -0.09356283396482468, -0.47164082527160645, 0.3730710744857788, 0.19828271865844727, 0.15468204021453857, -0.10278463363647461, -0.19281455874443054, -0.27024325728416443, -0.16588036715984344, 0.1455211192369461, 0.10108848661184311, -0.5892711281776428, -0.15285395085811615, -0.3993091583251953, -0.14837433397769928, 0.03898239880800247, -0.33710795640945435, -0.7543554306030273, 0.09655417501926422, -0.4778091013431549, 0.40816304087638855, -0.12192821502685547, -0.3202769160270691]"
Jérémy Morel,34,CB,CB,69,69,56,73,36,79,77,"[-0.15818162262439728, 0.5738936066627502, 0.43641772866249084, -0.21741831302642822, 0.2046257108449936, -0.3188824951648712, -0.031437333673238754, -0.12967361509799957, 0.06705792993307114, 0.5886674523353577, 0.783257246017456, 0.08086710423231125, 0.18047648668289185, -0.5378578901290894, 0.34070268273353577, -0.17213459312915802, -0.3721635639667511, 0.10825224965810776, 0.12891148030757904, 0.530225396156311, 0.5102072358131409, 0.5061331391334534, -0.1822608858346939, -0.8430795073509216, -0.0071850973181426525, -0.18858535587787628, -0.3077476918697357, 0.7001654505729675, -0.6389493346214294, -0.36952289938926697, -0.5435292720794678, -0.547993540763855, 0.7513256669044495, 0.5755648016929626, -0.3269415497779846, 0.9307281970977783, 0.10734754800796509, -0.7117480635643005, -0.2828466594219208, 0.4676657021045685, -0.41018936038017273, -0.6102327704429626, -0.13082170486450195, 0.03677116334438324, 0.17892369627952576, 0.24013331532478333, -0.24558372795581818, 0.015219043008983135, -0.04644972085952759, 0.5634053945541382, 0.30177533626556396, 0.1502959430217743, -0.4975613057613373, 0.05162092298269272, -0.4431858956813812, -0.2254749834537506, 0.3910914659500122, -0.773063063621521, -0.3013807535171509, 0.2401847094297409, -0.5043346881866455, 0.3614761233329773, 0.0814739540219307, -0.36428049206733704]"
Fernando Javier Llorente Torres,34,ST,ST,29,32,67,73,79,34,86,"[0.3511064350605011, -0.22317686676979065, 0.35170188546180725, -0.39049625396728516, 0.012310175225138664, -0.21123845875263214, 0.23097139596939087, -0.41901469230651855, 0.0899467021226883, 0.19103464484214783, 0.05023911967873573, 0.06878136843442917, 0.7771936058998108, -0.08755210041999817, 0.09327855706214905, -0.36513814330101013, -1.0817874670028687, -0.5075172781944275, -0.5945706367492676, 0.006555240601301193, -0.38487306237220764, 0.138890340924263, -0.6666598320007324, -0.21357469260692596, 0.27028870582580566, 0.04703199490904808, -0.061224110424518585, 0.028722846880555153, -0.24148371815681458, 0.2967778146266937, -0.3854810297489166, -0.4059027433395386, 0.061119794845581055, 0.583914577960968, 0.1103348508477211, 0.36494287848472595, 0.34494537115097046, -0.5389906167984009, -0.6552651524543762, 0.6000556945800781, -0.0158701092004776, 0.7511200904846191, 0.25129374861717224, 1.0598012208938599, 0.7760078310966492, 0.781029999256134, -0.16917583346366882, -0.5021945238113403, 0.23312333226203918, -0.16705067455768585, 0.11918964982032776, 0.6581374406814575, 0.09271964430809021, 0.21723099052906036, -0.4471615254878998, 0.30783841013908386, 0.13358992338180542, 0.5560269951820374, -0.6916906237602234, 0.19332332909107208, -0.8404017090797424, 0.6257511377334595, 0.31930890679359436, -0.7264404892921448]"
Gökhan Gönül,34,RB,RB,76,78,78,74,58,77,65,"[0.06235123798251152, -0.014014040119946003, 0.09959602355957031, 0.019344665110111237, -0.05744267255067825, -0.4339577555656433, 0.4326511323451996, -0.6298462748527527, 0.3788957893848419, -0.5091625452041626, 0.5411556959152222, -0.41502615809440613, 0.39542219042778015, -0.15456485748291016, -0.3033396005630493, -0.055204473435878754, -0.4575195014476776, 0.2444017231464386, -0.21165543794631958, -0.1557101458311081, 0.7067281007766724, -0.13970597088336945, -0.30580270290374756, -0.6261110901832581, -0.4193095266819, -0.062287554144859314, -0.36640387773513794, 0.46533629298210144, -0.7691805362701416, -0.5920166969299316, -0.7895150780677795, -0.4872446656227112, 0.5141194462776184, 0.4023837745189667, 0.011406054720282555, 0.9371753334999084, -0.21400387585163116, -0.10308165103197098, -0.8450175523757935, 0.6207766532897949, -0.4782710075378418, -0.8139876127243042, -0.727792501449585, 0.10990795493125916, 0.32435116171836853, 0.2557706832885742, 0.3697293698787689, 0.04548955708742142, 0.09076967090368271, -0.5764008164405823, 0.47228795289993286, 0.29602786898612976, -0.38832589983940125, 0.19894514977931976, 0.11186400800943375, -0.37050649523735046, 0.6210528612136841, -0.5047866106033325, 0.1079385057091713, 0.045407988131046295, -0.12260733544826508, 0.2500569522380829, -0.39283937215805054, -0.24877618253231049]"
Alberto Paloschi,29,ST,ST,77,69,69,68,80,69,76,"[0.4097648859024048, 0.1797272115945816, 0.04184591770172119, 0.16287681460380554, 0.05961078032851219, 0.06253228336572647, 0.15499472618103027, 0.0040857684798538685, 0.7067654132843018, -0.4400339424610138, 0.6795582175254822, -0.052309539169073105, 0.6023678183555603, -0.2450043112039566, -0.4574441611766815, -0.27712538838386536, 0.4815504550933838, -0.3203238844871521, 0.10656141489744186, -0.38524365425109863, 0.4611530005931854, -0.4526684284210205, -0.33652153611183167, -1.0335248708724976, -0.5225695371627808, 0.6495454907417297, -0.2636578679084778, -0.16612225770950317, -0.9983827471733093, 0.46127715706825256, -0.6758522987365723, -0.2301851361989975, 0.3807162046432495, 0.43276312947273254, 0.8185319900512695, 0.758602499961853, -0.2397947460412979, 0.31415921449661255, -0.5757236480712891, 0.550214946269989, 0.32210877537727356, 0.004208451136946678, 0.28630951046943665, 0.8426555395126343, 0.0047627463936805725, 0.0020240505691617727, 0.06704168021678925, -0.07326799631118774, 0.6237214803695679, -0.4340263605117798, 0.5537970066070557, -0.03516731411218643, -0.32519885897636414, -0.43199753761291504, -0.5252446532249451, -0.1499817967414856, 0.008420029655098915, -0.034959275275468826, -0.3044084310531616, 0.5981317758560181, -0.5591429471969604, 0.6767927408218384, 0.07723648846149445, -0.11146867275238037]"
