full_name,positions,overall_rating,age,acceleration,sprint_speed,dribbling,short_passing,finishing,stamina,strength,embedding
Eugenio Lamanna,GK,72,29,29,33,18,35,19,26,52,"[0.8511322140693665, 2.157898426055908, 0.6136907339096069, -0.9022520184516907, -0.8919968008995056, 0.7079640626907349, 0.6641407608985901, 0.7813559770584106, -1.2130531072616577, -0.10681170225143433, 0.09246625006198883, -0.20705263316631317, 0.5310503244400024, 0.7710019946098328, 0.24858011305332184, -0.4570401608943939, 0.372760146856308, -0.28016436100006104, 0.36596524715423584, 0.4647509753704071, -0.47442808747291565, -0.267414391040802, -0.5494670867919922, 0.04800261929631233, 0.568932831287384, 0.8904994130134583, 0.12749513983726501, 0.2000734657049179, -0.714008629322052, 0.1943187117576599, 1.1447432041168213, -1.60551917552948, -0.2211667150259018, -0.8448124527931213, 0.38540682196617126, 1.220420479774475, 0.11002666503190994, 0.003978529013693333, -0.2889527976512909, 0.5435810685157776, -0.12785270810127258, 1.3096210956573486, 0.8912730813026428, 1.289045810699463, 0.5968255996704102, -1.7355616092681885, 0.8965415358543396, -0.8919782638549805, 0.46080562472343445, 0.08824506402015686, -0.4636717736721039, 0.26553818583488464, 0.9408434629440308, 0.18013514578342438, 0.23677019774913788, -0.5533126592636108, -0.37985777854919434, -1.0143816471099854, 0.8576359152793884, 0.6176844835281372, -0.6624138355255127, -0.48219048976898193, -0.1352480798959732, -0.1968110054731369]"
Gilles Sunu,"ST,RW,LW",72,27,67,74,74,70,72,64,73,"[1.068286418914795, 0.49553152918815613, 1.214781641960144, 0.04021921753883362, -0.3526375889778137, -0.4118051528930664, 0.18690793216228485, -0.38740482926368713, -0.2630143463611603, 0.46889713406562805, -0.4215215742588043, 0.9040182828903198, -1.265134334564209, 0.019230999052524567, 0.256320983171463, 0.17046573758125305, 0.0045797922648489475, -0.8794898390769958, 1.3444993495941162, -0.1612740457057953, -0.18089687824249268, 0.27828139066696167, -0.47368401288986206, 0.9142572283744812, 0.3612438440322876, 0.0034376373514533043, 0.08106202632188797, 0.2498028427362442, -0.7689350247383118, -0.2763119637966156, 0.21217098832130432, 0.7973580956459045, 0.03052135556936264, 0.6441873908042908, -0.39817970991134644, 0.6679621934890747, -0.5093470811843872, 0.3471848666667938, 0.23374132812023163, 0.8541568517684937, 0.42602768540382385, 0.7980550527572632, -0.0919082835316658, 1.6842161417007446, 0.6358156800270081, -0.2745998203754425, -0.6456125974655151, 0.19851502776145935, 1.0215282440185547, -0.22186170518398285, 0.37408435344696045, -0.622541069984436, 0.3127266466617584, 0.3088187575340271, -0.08661926537752151, -0.2121046781539917, 0.2742854654788971, -0.7205916047096252, 0.18229089677333832, 0.5491518974304199, -0.10216660052537918, 0.7963913679122925, -0.6249403357505798, 0.5177362561225891]"
Emil Berggreen,ST,72,25,48,51,67,61,75,49,90,"[1.3657664060592651, 0.43999865651130676, 0.4842956066131592, 0.7366338968276978, -0.1704404056072235, -0.4130316972732544, -0.18520492315292358, 0.4306490421295166, -0.058390386402606964, 0.11522156000137329, 0.2456066608428955, -0.4046756327152252, -0.13552474975585938, 0.0764593705534935, -0.29525303840637207, -1.117924451828003, 0.9163126945495605, -0.34786808490753174, 0.7651570439338684, -0.6605942249298096, -1.1082673072814941, 0.9316228032112122, -1.111761450767517, 1.1385760307312012, 0.620816707611084, 0.1692294031381607, 0.19565893709659576, -0.4253910779953003, -0.8280943036079407, 0.1548200398683548, 0.2504566013813019, -0.43753084540367126, 0.10313891619443893, -0.8622113466262817, 0.33871617913246155, -0.3559027314186096, 0.042877379804849625, -0.42429688572883606, -0.23421767354011536, 0.15147456526756287, 0.3337806165218353, 0.6940064430236816, -0.6679936647415161, 0.9236653447151184, 0.29201993346214294, -0.25996801257133484, 0.648112416267395, 0.12037932872772217, 1.255439281463623, 0.015758343040943146, 0.371685653924942, -1.0059270858764648, 0.37166866660118103, 0.23229733109474182, 0.2716163098812103, -1.381951928138733, 1.488157033920288, 0.01458960585296154, 0.02857254445552826, 0.7137671113014221, 0.309552937746048, 0.043403685092926025, -0.04554572328925133, 0.9869764447212219]"
Jonathan Guillermo Nunez Espinoza,"LM,CAM",72,31,75,79,73,71,66,73,80,"[1.2394212484359741, 0.5572149157524109, -0.4980883002281189, -0.2526892125606537, -0.14028091728687286, -0.061985649168491364, 0.27957040071487427, 0.2510242462158203, 0.4574386179447174, 1.2545775175094604, -0.44732895493507385, -0.24943864345550537, -0.5959089398384094, 0.23087888956069946, 0.5990309119224548, 0.063010573387146, -0.653813362121582, -0.7583291530609131, -0.04340212047100067, -0.3368888199329376, -0.2762565016746521, 0.6907481551170349, 0.39789578318595886, 1.003767728805542, 0.2381824254989624, 0.40733861923217773, 0.12172190099954605, 0.5836086273193359, -0.14228162169456482, -0.28565746545791626, 0.47708767652511597, -0.3818770945072174, -0.4135130047798157, -0.5992915034294128, 0.1838347166776657, 0.6263814568519592, -0.31312668323516846, -0.06282249838113785, -0.8279194831848145, -0.6887508630752563, 0.18406090140342712, 0.9904940724372864, 0.5442355871200562, 0.5055931210517883, 0.38785722851753235, 0.12299175560474396, 0.5369321703910828, 0.6165212988853455, 0.6006401181221008, 0.8129547238349915, 0.011090587824583054, -0.49045199155807495, 0.6471053957939148, -0.8211641311645508, -0.6910207867622375, -0.07984813302755356, 0.6441566944122314, -0.2836148738861084, 1.0050346851348877, 0.09710700064897537, 0.3468596935272217, -0.2012341320514679, 0.8673426508903503, 0.11506299674510956]"
Luciano Aued,"CM,CDM",72,32,54,54,72,74,52,77,80,"[0.8042734265327454, 0.11840198189020157, 0.505326509475708, -1.1083629131317139, -1.0705307722091675, 0.2426556646823883, 0.2861703634262085, -0.3879650831222534, 0.22105665504932404, 0.9638360142707825, -1.056088924407959, -0.11680112034082413, 0.5683782696723938, 0.662336528301239, 0.8961039185523987, 0.023972773924469948, 0.24483183026313782, 0.04134373739361763, -0.04512463137507439, -0.4484441578388214, -1.1030912399291992, 1.2486822605133057, 0.5186415910720825, 0.08955730497837067, 0.5120382905006409, 0.43737712502479553, -0.0010155459167435765, 1.1283987760543823, 0.31300440430641174, 0.14079925417900085, 1.0356899499893188, -0.5230218172073364, -0.3085640072822571, -0.45538094639778137, -0.16652581095695496, 0.48783159255981445, -0.32870399951934814, 1.0765531063079834, 0.14461398124694824, -0.2680370509624481, -0.4357084035873413, 1.7250149250030518, -0.6156123876571655, 0.9547426700592041, 0.20969536900520325, 0.03734782338142395, 0.45674997568130493, -0.26580071449279785, 0.8892707228660583, 0.8569194674491882, -0.5355140566825867, 0.3778933584690094, 0.10679090768098831, -0.9576587080955505, 0.36493411660194397, -0.3617047667503357, -0.3708290755748749, 0.5815375447273254, 1.127020239830017, -0.5826449394226074, 0.3936103582382202, 0.13827277719974518, 0.3229224383831024, -0.08101878315210342]"
Hao Jun Min,"CM,CDM,CAM",72,31,74,69,70,74,62,82,60,"[1.1916908025741577, 0.8596178293228149, 0.7641300559043884, 0.21194759011268616, 0.5063896179199219, -0.02619481272995472, 0.585601806640625, 0.6053518652915955, -0.37430107593536377, 0.4246920049190521, -0.0049887849017977715, -0.10231443494558334, 0.1997489482164383, 0.06491413712501526, -0.4308317005634308, 0.7012346386909485, 0.29880502820014954, -0.3671644926071167, 0.12665364146232605, -0.7233184576034546, -0.31105560064315796, 0.6462277173995972, 0.2869536578655243, -0.19869573414325714, 0.07962735742330551, 0.8520491719245911, 0.0877692848443985, 0.015558956190943718, -0.4202210307121277, -0.035241227596998215, 0.19566918909549713, 0.1554669439792633, -0.42980945110321045, -0.5168790221214294, 0.08884906023740768, -0.06284694373607635, 0.5564001798629761, 1.3296343088150024, 0.3388424217700958, 0.33442166447639465, -0.5997427701950073, 0.3603563606739044, -0.15319128334522247, 1.041311264038086, -0.17323528230190277, -0.36127036809921265, 0.2777944803237915, -0.6301962733268738, 0.5099095106124878, 0.5070716738700867, -0.34104564785957336, -0.7746465802192688, 0.5680798888206482, -0.5173764228820801, 0.48260828852653503, 0.08281145244836807, 1.1784939765930176, 0.2984650135040283, 0.8737372756004333, -0.5867978930473328, -0.42126283049583435, -0.38735339045524597, 0.5732256174087524, -0.4033730924129486]"
Marius Valerica Gaman,CB,72,30,60,57,51,68,47,68,71,"[1.1326215267181396, 0.3861428499221802, -0.3736613988876343, -0.398595929145813, -0.4019603431224823, -0.19080062210559845, -0.13767217099666595, 0.09776276350021362, -0.5156537890434265, 0.8597427606582642, -0.41798967123031616, -0.1094055250287056, 0.6769574880599976, 0.6129873991012573, 0.10196734964847565, -0.9118220210075378, -0.07510215044021606, 0.31844615936279297, 1.0913236141204834, 1.565743088722229, 0.002903175074607134, -0.26546618342399597, 0.057076916098594666, 0.05366495996713638, 0.6282276511192322, -0.06278251856565475, -0.15517833828926086, -0.38468843698501587, -0.2993573546409607, -0.12049142271280289, 0.5275021195411682, -0.3681398332118988, -0.7968689799308777, -0.6790762543678284, 0.08884681761264801, 0.6655015349388123, 0.04552499204874039, 0.8783115744590759, -0.6548964977264404, 0.0615023598074913, 0.3722273111343384, 0.8614003658294678, 0.2268824428319931, 1.158639669418335, 0.04467805474996567, -0.4004884660243988, 0.5458565354347229, 0.07151587307453156, 0.5167767405509949, 0.3944956660270691, 0.33448436856269836, 0.6314047574996948, 0.006834148894995451, 0.09989025443792343, -0.49577197432518005, -0.18245285749435425, 0.09140928834676743, 0.08653493970632553, 0.8676885962486267, -0.24229645729064941, -0.40889430046081543, -0.4272729754447937, -0.20829831063747406, -0.42616671323776245]"
Jorge Pulido Mayoral,"CB,LB",72,27,43,48,39,67,27,76,79,"[0.9711838364601135, 1.306641697883606, 0.25869590044021606, 0.24290898442268372, -0.356233686208725, 1.0317091941833496, 0.1230783760547638, 0.41410142183303833, -0.5650570392608643, 0.29712212085723877, -0.1161363497376442, -0.3642198443412781, 0.30719733238220215, -0.01982257328927517, 0.2091236561536789, 0.1353486031293869, 0.2811557650566101, -0.1302414983510971, 0.6509580612182617, 0.7244194149971008, -0.0931243821978569, -0.31847092509269714, 0.34584841132164, 0.041143182665109634, 0.527233898639679, -0.04501384124159813, 0.3490127921104431, -0.7024847865104675, 0.39083319902420044, -0.028723010793328285, -0.005293434020131826, -0.6780697703361511, 0.18309780955314636, -1.1127361059188843, 0.23723191022872925, 0.6273254752159119, -0.14089369773864746, -0.31391096115112305, -0.3850443661212921, -0.3277932107448578, 0.405977338552475, 1.3163944482803345, -0.4092642664909363, 0.8144551515579224, -0.43196535110473633, -0.3389568626880646, -0.23320098221302032, -0.41103699803352356, 0.7409294843673706, -0.32237207889556885, 0.13232514262199402, -1.0763659477233887, 0.14239348471164703, -0.7008785605430603, -0.6604974865913391, 0.38183072209358215, 1.4870374202728271, 0.12027478218078613, 0.39163464307785034, -0.3746102750301361, 0.5664216876029968, 0.4044305384159088, 0.48939624428749084, 0.16446316242218018]"
Abbubaker Mobara,"RB,CB,CDM",72,25,80,76,68,72,50,71,51,"[0.4391079246997833, 0.9119274616241455, -0.05311267822980881, -0.40756741166114807, -0.8034640550613403, 1.3025877475738525, 0.6390527486801147, 0.9292686581611633, -0.47843554615974426, -0.09122157096862793, 0.2570667266845703, 0.053290385752916336, 0.8183720111846924, 1.138225793838501, 0.0802653506398201, -0.8176414370536804, 0.24886555969715118, 0.7732494473457336, 0.6266648769378662, 0.505875289440155, -0.24913331866264343, 0.028036201372742653, -0.5534840226173401, 0.6704326272010803, -0.2501721978187561, 0.4712739884853363, 0.3890171945095062, 0.743463397026062, 0.24680547416210175, 0.23516914248466492, 0.6585747003555298, 0.2283736914396286, -0.3511582314968109, -0.16908593475818634, 0.5249449610710144, 0.35326460003852844, 0.3045993149280548, 0.4184221923351288, -0.7330252528190613, 0.20269620418548584, 0.6234674453735352, 1.2321048974990845, -0.14852578938007355, 0.6018545031547546, 0.3206183612346649, -0.16911548376083374, 0.09957508742809296, -0.30970168113708496, 0.2899218499660492, -0.005713953170925379, 0.32474440336227417, 0.09166719764471054, 0.739890992641449, -0.8768079280853271, 0.20144832134246826, -0.8419880867004395, 0.7703038454055786, 0.08564652502536774, 0.128627747297287, 0.5991791486740112, -0.012110653333365917, -0.11676637828350067, 0.5030254125595093, -0.22514507174491882]"
Joe Ledley,CDM,72,32,60,53,59,73,62,75,77,"[1.3076422214508057, 0.7656539082527161, 0.665091872215271, 0.18873460590839386, 0.09329364448785782, 0.33349519968032837, -0.05529714748263359, 0.6740577220916748, -0.08931898325681686, 0.6771939396858215, 0.15230950713157654, -0.19626839458942413, -0.7442255020141602, 0.7720407843589783, 0.3792897164821625, -0.5284532904624939, 0.31555864214897156, -0.6241589188575745, 0.10645841807126999, 0.09339252859354019, -0.21229232847690582, -0.7660681009292603, -0.5896552205085754, -0.08745651692152023, -0.0041287909261882305, 0.591667115688324, 0.6454334855079651, -0.2445971667766571, -0.01812143251299858, 0.7617570757865906, 1.279031753540039, -0.0468703992664814, -0.28884774446487427, -0.28283873200416565, -0.7143005728721619, 0.621172308921814, 0.3818935453891754, 0.12153611332178116, -0.331286758184433, 0.045879803597927094, -0.2758505642414093, 0.5325671434402466, -0.24979230761528015, 0.5345429182052612, 0.48306015133857727, 0.0353236123919487, 0.36109158396720886, -0.3881395757198334, -0.033296167850494385, 0.3712366819381714, -0.2000066339969635, -0.7084109783172607, 0.7194412350654602, 0.6447007656097412, 0.9785997271537781, -0.0865541473031044, 1.003409504890442, 0.191811665892601, -0.2957010567188263, 0.039028044790029526, 0.48469385504722595, -0.2028307318687439, 0.01179701928049326, 0.011245392262935638]"
Ahmet Calik,CB,72,25,65,68,58,62,42,76,72,"[1.0609502792358398, -0.15232202410697937, 0.8208372592926025, -0.10724393278360367, -1.1614447832107544, -0.6186413168907166, 0.11863400042057037, 0.27139753103256226, 0.19483062624931335, 0.26014843583106995, -0.07227425277233124, 0.48392224311828613, -0.42632821202278137, 0.5771486759185791, 0.49178069829940796, -0.777716338634491, 0.37832921743392944, -0.9320793747901917, 1.1697490215301514, 1.1921697854995728, -0.24445100128650665, -0.13844682276248932, -0.3277899920940399, 0.3221489191055298, 0.7255339026451111, -0.5386558771133423, 0.36659300327301025, 0.17404477298259735, 0.29432764649391174, -0.6213873028755188, 0.42916223406791687, -0.6861516237258911, 0.026767047122120857, -0.6187741160392761, 0.5152649283409119, 0.8322473168373108, -0.061944637447595596, 0.2814106345176697, -1.6437031030654907, -0.24949365854263306, -0.727853000164032, 1.6319729089736938, -0.13000164926052094, 0.5069512128829956, 0.09018290042877197, -0.646159827709198, 0.12855960428714752, 0.22684729099273682, 0.952913224697113, 1.341843843460083, 0.3740510046482086, -0.07182255387306213, 0.04247709736227989, -1.1539843082427979, 0.8234007358551025, -0.18429572880268097, 0.060863107442855835, -0.5830790996551514, 0.8145362734794617, 0.039520129561424255, -0.6573656797409058, -0.7930250763893127, 0.31997522711753845, 0.5603687763214111]"
Alberto Cerri,ST,72,22,54,69,68,65,75,68,94,"[1.9050110578536987, 0.3977196514606476, 0.43725600838661194, -0.1297866553068161, -0.3858657479286194, 0.8474380373954773, 0.6368468999862671, -0.1151173934340477, -0.8897908329963684, 0.37751173973083496, -1.3036636114120483, 0.9595984220504761, 0.30273398756980896, 0.48163312673568726, 0.34673842787742615, 0.12651950120925903, 1.4157286882400513, -0.5688713192939758, 0.8643245100975037, 1.4420369863510132, -0.5340419411659241, -0.534699022769928, -0.7177565097808838, 0.4907965362071991, 1.0325262546539307, 0.5548132061958313, -0.1485242247581482, 0.6413873434066772, -0.39116716384887695, 0.5770196318626404, 0.5678828358650208, -0.1616910994052887, -0.5789655447006226, -1.2873570919036865, -0.6187462210655212, -0.30174145102500916, -0.04324468970298767, 1.3295774459838867, 0.43004944920539856, 0.16443891823291779, 0.6218467354774475, 0.8358328938484192, -0.07410887628793716, 1.14363694190979, 0.5860234498977661, 0.1286662220954895, 0.4086739718914032, 0.5968765616416931, 0.6529608964920044, 0.055239446461200714, 0.1942550539970398, -1.2816343307495117, 0.5707629919052124, -0.8803649544715881, -0.5248093008995056, -0.4317997694015503, -0.04413493722677231, 0.18414241075515747, -0.04870763421058655, -0.46631643176078796, -0.08530474454164505, -0.022164657711982727, -0.48879605531692505, 0.40118154883384705]"
kimjinsu Jin Zhen Zhu,"LB,LM",72,26,79,77,68,71,26,65,64,"[0.6414302587509155, 1.2176685333251953, 1.286494493484497, 0.5145964622497559, 0.3614498972892761, 0.5111564993858337, 0.5725776553153992, 0.07228944450616837, -0.6814273595809937, 0.25556686520576477, -0.14922283589839935, 0.2689145505428314, -0.4806739091873169, -0.03718310594558716, 0.5466400384902954, -0.9368976950645447, -0.6942082047462463, -0.09511393308639526, 0.30030298233032227, 0.3488459289073944, -0.018957721069455147, 0.2411797195672989, -0.4631865322589874, -0.42630043625831604, 0.8597099781036377, 0.023478200659155846, -0.05952748656272888, 0.12902171909809113, -0.17839808762073517, -0.20805375277996063, 0.6361677646636963, -0.45674270391464233, -0.5738328695297241, -0.026230206713080406, 1.2956277132034302, 0.5912924408912659, -0.29745984077453613, 0.8857606053352356, -0.5550332069396973, 0.0780128538608551, -0.9206580519676208, 0.612423837184906, -0.21845421195030212, 1.1119943857192993, 0.5813755393028259, -0.03427290543913841, 0.2832697033882141, -0.7425756454467773, 0.40203770995140076, 0.44430863857269287, -0.4237969219684601, -0.4298652410507202, 0.4307536780834198, -0.2538042962551117, 0.2934715151786804, 0.02387990616261959, 0.7269038558006287, -0.05532316863536835, -0.17998042702674866, 0.07626065611839294, 0.2962387502193451, -0.4078197777271271, -0.4337223768234253, -1.060917854309082]"
Christian Gytkjaer,ST,72,28,72,70,67,58,75,63,79,"[1.2818700075149536, 0.483085960149765, 0.5392575860023499, 0.7065565586090088, -0.1342325210571289, -0.44576001167297363, -0.26190173625946045, 0.4909078776836395, 0.12318277359008789, 0.11524040997028351, 0.16170595586299896, -0.41575348377227783, -0.22143080830574036, 0.03222279995679855, -0.4067062437534332, -1.0427448749542236, 0.9045208692550659, -0.29751455783843994, 0.6949785947799683, -0.48248007893562317, -1.060453176498413, 0.8957602977752686, -1.067452311515808, 1.0559645891189575, 0.6188712120056152, 0.03130262717604637, 0.30576345324516296, -0.5189982652664185, -0.7296515107154846, 0.18058083951473236, 0.2049446851015091, -0.5263497233390808, 0.061349764466285706, -0.7675859928131104, 0.36119410395622253, -0.45311033725738525, 0.06980035454034805, -0.4030604958534241, -0.27425795793533325, 0.22585710883140564, 0.4146680533885956, 0.6574233770370483, -0.6523348093032837, 0.9549957513809204, 0.25864213705062866, -0.2974875271320343, 0.5691635012626648, 0.15071073174476624, 1.3837732076644897, 0.027147578075528145, 0.3883296549320221, -1.1852723360061646, 0.3533158600330353, 0.3198758363723755, 0.22313199937343597, -1.2476463317871094, 1.4274327754974365, -0.020248860120773315, 0.05661940574645996, 0.8376668095588684, 0.29997140169143677, 0.040296681225299835, 0.005949635524302721, 0.9732763767242432]"
igangin Kangin Lee,"CAM,LM,RM",72,18,69,67,78,65,65,58,49,"[-0.09669804573059082, 1.161832571029663, 1.0476491451263428, 0.33080434799194336, 0.28404465317726135, 0.9536851644515991, 0.1738698035478592, 0.368673175573349, -0.8208885192871094, 0.37464749813079834, -0.19958491623401642, 0.6909820437431335, -0.3559991121292114, -0.5046931505203247, 0.8172773718833923, -0.500705361366272, 0.03474391996860504, -0.9203718900680542, 0.5063049793243408, 0.0573589913547039, 0.22717693448066711, -0.08037982136011124, -0.5116555094718933, 0.34290215373039246, 0.6562132835388184, -0.08779469132423401, 0.7717676758766174, 0.08303868025541306, 0.03276096284389496, 0.48228925466537476, -0.48588845133781433, -0.2782755494117737, -0.8780500292778015, 0.37248995900154114, 0.6555352807044983, 0.5546795129776001, 0.46693816781044006, 1.0931731462478638, -0.3275277316570282, -0.4280133545398712, -0.659850001335144, 0.26343873143196106, 0.10305140912532806, 0.9345275163650513, 1.076751470565796, 0.11524570733308792, -0.039706937968730927, -0.7427734732627869, 0.6010326743125916, 0.5211653709411621, 0.7222256064414978, -0.8618603348731995, 0.23003141582012177, -0.73259437084198, 0.13717038929462433, -0.4393305480480194, 0.7837725877761841, -0.2762738764286041, 0.5234605073928833, 0.028968295082449913, 1.2554548978805542, -0.6890440583229065, -0.5042759776115417, -1.2213069200515747]"
Edigar Junio Teixeira Lima,"RW,LW,ST",72,27,85,88,74,69,72,66,49,"[0.6958900690078735, 1.3133646249771118, 0.592219352722168, -0.41516056656837463, -0.4684056341648102, -0.0998232364654541, 0.007790897972881794, 0.0964379832148552, -0.39701178669929504, -0.315846711397171, -0.3164742588996887, 1.3767187595367432, -0.6314924955368042, 0.29138174653053284, -0.28316235542297363, 0.33092057704925537, 0.23770520091056824, -0.6456694006919861, 0.6537754535675049, -0.07050210237503052, -0.3539873957633972, 0.27040743827819824, -0.6205176115036011, 0.7575063109397888, 0.9837335348129272, -0.7617837190628052, 0.04887285456061363, 0.3682972490787506, -0.8629117608070374, 0.2437751442193985, 0.5448423027992249, 0.1597977876663208, -0.11752278357744217, 0.30050161480903625, 0.11994120478630066, 0.6531646251678467, -0.5517681241035461, 0.08438980579376221, -0.011252695694565773, 0.6189373135566711, -0.19037829339504242, 0.3055686056613922, -0.1724514663219452, 1.5560567378997803, 0.2837144732475281, -0.21722224354743958, 0.2924877107143402, 0.32293808460235596, 1.103414535522461, -0.722082793712616, 0.4293367266654968, 0.1437644362449646, 0.38257986307144165, -0.30541184544563293, -0.4511679410934448, 0.14263960719108582, -0.12888091802597046, -1.0832252502441406, 0.2792609632015228, 0.7404575347900391, 0.16055947542190552, 0.51729416847229, -0.7066026926040649, 1.1787420511245728]"
John Bostock,"CM,CDM",72,27,66,65,71,74,71,76,78,"[1.0396230220794678, 0.7368332147598267, 0.27474668622016907, 0.07592137157917023, -1.1586039066314697, 1.5385075807571411, 0.224399134516716, 0.08399160951375961, -0.3204246759414673, 0.645583987236023, -0.7314357161521912, -0.3816714286804199, 1.0481364727020264, 0.33544430136680603, 0.6358118653297424, -0.10476382076740265, 0.6794944405555725, -0.48381873965263367, 0.28970521688461304, 0.47320356965065, -0.41757091879844666, 0.5656987428665161, 0.18839114904403687, 0.5464772582054138, 1.1037815809249878, 0.838492214679718, 0.22338446974754333, -0.5618117451667786, -0.1044609397649765, 0.1723489910364151, 0.6300964951515198, 0.03103421814739704, -0.27127429842948914, -1.2419850826263428, -0.8016479015350342, 0.6655482649803162, 0.8496659398078918, 0.29896843433380127, 0.037124376744031906, 1.0883688926696777, 0.3042796850204468, 0.03840043023228645, -0.2683577835559845, 1.332076907157898, 0.40687254071235657, -0.32016098499298096, 1.2788522243499756, -0.831412672996521, 0.7976213097572327, 0.1584131270647049, 0.19710032641887665, -0.611497700214386, 0.9950364232063293, 0.734836220741272, 0.38043567538261414, -0.1591814160346985, 0.89180588722229, 0.2074081003665924, 0.16913245618343353, 0.770879864692688, 0.038043007254600525, -0.6195995807647705, 0.24063590168952942, 0.39555227756500244]"
Sergio Pellissier,ST,72,39,34,45,68,68,78,43,53,"[1.9114353656768799, 0.41756755113601685, 0.41472214460372925, -0.16379262506961823, -0.36584991216659546, 0.8210210800170898, 0.6439710259437561, -0.10953713208436966, -0.9038665294647217, 0.4375368356704712, -1.2453242540359497, 1.034017562866211, 0.3148205280303955, 0.5772502422332764, 0.4021807312965393, 0.1898297369480133, 1.3831974267959595, -0.5193079710006714, 0.8996112942695618, 1.4090347290039062, -0.5785744190216064, -0.37675654888153076, -0.7320263385772705, 0.4694410264492035, 1.077871561050415, 0.49728938937187195, -0.12265773862600327, 0.6443886160850525, -0.3887014091014862, 0.5544788837432861, 0.5279018878936768, -0.124256931245327, -0.5839812755584717, -1.2534624338150024, -0.6140149831771851, -0.31290948390960693, 0.035132165998220444, 1.3868714570999146, 0.5239142775535583, 0.25134459137916565, 0.4521491229534149, 0.9068294763565063, -0.06829097121953964, 1.2314120531082153, 0.5697879195213318, 0.13456282019615173, 0.44264501333236694, 0.5720312595367432, 0.7425962686538696, 0.04339585453271866, 0.23303940892219543, -1.3297598361968994, 0.5072895288467407, -0.8639941811561584, -0.4919244647026062, -0.44376063346862793, -0.019069790840148926, 0.1879427582025528, -0.0264024306088686, -0.40898144245147705, -0.07560420036315918, -0.1104481890797615, -0.5529785752296448, 0.46808290481567383]"
Marcus Antonsson,ST,72,27,76,82,66,63,76,83,68,"[2.098032236099243, 0.6213622689247131, 0.6960787773132324, -0.46676087379455566, -0.5849130749702454, -0.6324068307876587, 0.23727084696292877, 0.12943027913570404, -0.31885799765586853, 0.37860846519470215, -0.12776117026805878, 0.6045790910720825, -0.35483261942863464, 0.7073085308074951, -0.15805377066135406, -0.6426257491111755, 1.0691969394683838, -0.9904251098632812, -0.026015382260084152, 0.7682692408561707, -0.37356364727020264, 0.7760882377624512, -0.7560421824455261, 0.643520176410675, -0.17314112186431885, 0.6036189794540405, 0.11171510070562363, -0.8450574278831482, 0.5229839086532593, -0.1839480698108673, 0.12457269430160522, -1.1440452337265015, -0.4894784390926361, -0.8161916136741638, -0.3752944767475128, 1.2799656391143799, -0.2360849678516388, 0.24446365237236023, 0.3458743095397949, -0.05680939927697182, -0.07527032494544983, 0.3924616277217865, -0.613962709903717, 0.5228362083435059, 1.1826744079589844, 0.16738006472587585, 0.012776738032698631, -0.0714203491806984, 0.17610447108745575, -1.1708239316940308, -0.6676470041275024, -0.1832224279642105, 1.5504200458526611, -0.30490347743034363, 0.3220684826374054, -0.4181835949420929, 0.551136314868927, 0.01089516468346119, 1.2000255584716797, -0.9373714923858643, 0.33638229966163635, -0.2058730274438858, -0.6248000860214233, 0.16123616695404053]"
Moise Kean,ST,72,19,75,79,73,59,75,69,73,"[1.4690768718719482, 0.31130483746528625, 0.34723031520843506, -0.08741800487041473, -0.27311578392982483, 0.6136474609375, 0.4478623867034912, -0.07667519897222519, -0.6501582860946655, 0.29924821853637695, -0.9529966711997986, 0.7522781491279602, 0.2168639600276947, 0.3956069052219391, 0.27741920948028564, 0.13646237552165985, 1.0969146490097046, -0.40219274163246155, 0.6407119035720825, 1.0829602479934692, -0.3891946077346802, -0.38086673617362976, -0.5592583417892456, 0.3369743824005127, 0.7981535792350769, 0.4023773968219757, -0.12275953590869904, 0.5126667618751526, -0.28979381918907166, 0.4146351218223572, 0.4635423421859741, -0.0937512144446373, -0.4327782988548279, -0.9538671374320984, -0.48786529898643494, -0.2575751543045044, -0.043591637164354324, 1.0276522636413574, 0.39093393087387085, 0.15516436100006104, 0.4286331534385681, 0.6490718722343445, -0.07140236347913742, 0.9029076099395752, 0.427377313375473, 0.10971686989068985, 0.3282625675201416, 0.4703948199748993, 0.5245940685272217, -0.0003197607002221048, 0.1316252499818802, -0.9814332723617554, 0.40422624349594116, -0.6485459208488464, -0.3732486367225647, -0.30986255407333374, -0.03422006964683533, 0.08507079631090164, -0.06660860031843185, -0.3438037633895874, -0.06691057980060577, -0.033721040934324265, -0.41804400086402893, 0.36840906739234924]"
